u,v,veh,avg_wait,edge_color
18,16,{1: {'0': 9.0}},3.3333333333333335,#00B300
18,17,{1: {'0': 9.0}},3.3333333333333335,#00B300
18,19,{1: {'1': 9.0}},3.3333333333333335,#00B300
18,20,{1: {'1': 9.0}},3.3333333333333335,#00B300
18,21,{1: {'1': 9.0}},3.3333333333333335,#00B300
18,22,{1: {'1': 9.0}},3.3333333333333335,#00B300
18,23,{1: {'1': 9.0}},3.3333333333333335,#00B300
18,24,{1: {'1': 9.0}},3.3333333333333335,#00B300
18,25,{1: {'1': 9.0}},3.3333333333333335,#00B300
18,26,{1: {'1': 9.0}},3.3333333333333335,#00B300
19,1,{1: {'0': 9.0}},3.3333333333333335,#00B300
19,0,{1: {'0': 9.0}},3.3333333333333335,#00B300
19,2,{1: {'0': 9.0}},3.3333333333333335,#00B300
19,3,{1: {'0': 9.0}},3.3333333333333335,#00B300
19,4,{1: {'0': 9.0}},3.3333333333333335,#00B300
19,5,{1: {'0': 9.0}},3.3333333333333335,#00B300
19,6,{1: {'0': 9.0}},3.3333333333333335,#00B300
19,7,{1: {'0': 9.0}},3.3333333333333335,#00B300
19,8,{1: {'0': 9.0}},3.3333333333333335,#00B300
19,9,{1: {'0': 9.0}},3.3333333333333335,#00B300
19,10,{1: {'0': 9.0}},3.3333333333333335,#00B300
19,11,{1: {'0': 9.0}},3.3333333333333335,#00B300
19,12,"{1: {'0': 9.0}, 2: {'0': 9.157894736842104}}",1.6521739130434785,#000000
19,13,{1: {'0': 9.0}},3.3333333333333335,#00B300
19,14,{1: {'0': 9.0}},3.3333333333333335,#00B300
19,15,{1: {'0': 9.0}},3.3333333333333335,#00B300
19,16,{1: {'0': 9.0}},3.3333333333333335,#00B300
19,17,{1: {'0': 9.0}},3.3333333333333335,#00B300
19,18,{1: {'0': 9.0}},3.3333333333333335,#00B300
19,20,{1: {'1': 9.0}},3.3333333333333335,#00B300
19,21,{1: {'1': 9.0}},3.3333333333333335,#00B300
19,22,{1: {'1': 9.0}},3.3333333333333335,#00B300
19,23,{1: {'1': 9.0}},3.3333333333333335,#00B300
19,24,{1: {'1': 9.0}},3.3333333333333335,#00B300
19,25,{1: {'1': 9.0}},3.3333333333333335,#00B300
19,26,{1: {'1': 9.0}},3.3333333333333335,#00B300
19,43,{2: {'0': 9.157894736842104}},3.2758620689655173,#D95700
19,37,{2: {'0': 9.157894736842104}},3.2758620689655173,#D95700
19,38,{2: {'0': 9.157894736842104}},3.2758620689655173,#D95700
19,39,{2: {'0': 9.157894736842104}},3.2758620689655173,#D95700
19,40,{2: {'0': 9.157894736842104}},3.2758620689655173,#D95700
19,41,{2: {'0': 9.157894736842104}},3.2758620689655173,#D95700
19,42,{2: {'0': 9.157894736842104}},3.2758620689655173,#D95700
19,44,{2: {'0': 9.157894736842104}},3.2758620689655173,#D95700
19,45,{2: {'0': 9.157894736842104}},3.2758620689655173,#D95700
19,46,{2: {'0': 9.157894736842104}},3.2758620689655173,#D95700
19,47,{2: {'0': 9.157894736842104}},3.2758620689655173,#D95700
19,48,{2: {'0': 9.157894736842104}},3.2758620689655173,#D95700
19,49,{2: {'0': 9.157894736842104}},3.2758620689655173,#D95700
19,50,{2: {'0': 9.157894736842104}},3.2758620689655173,#D95700
19,51,{2: {'0': 9.157894736842104}},3.2758620689655173,#D95700
19,52,{2: {'0': 9.157894736842104}},3.2758620689655173,#D95700
19,53,{2: {'0': 9.157894736842104}},3.2758620689655173,#D95700
19,54,{2: {'0': 9.157894736842104}},3.2758620689655173,#D95700
19,55,{2: {'0': 9.157894736842104}},3.2758620689655173,#D95700
19,36,{2: {'1': 9.105263157894736}},3.294797687861272,#D95700
19,28,{2: {'1': 9.105263157894736}},3.294797687861272,#D95700
19,27,{2: {'1': 9.105263157894736}},3.294797687861272,#D95700
19,29,{2: {'1': 9.105263157894736}},3.294797687861272,#D95700
19,30,{2: {'1': 9.105263157894736}},3.294797687861272,#D95700
19,31,{2: {'1': 9.105263157894736}},3.294797687861272,#D95700
19,32,{2: {'1': 9.105263157894736}},3.294797687861272,#D95700
19,33,{2: {'1': 9.105263157894736}},3.294797687861272,#D95700
19,34,{2: {'1': 9.105263157894736}},3.294797687861272,#D95700
19,35,{2: {'1': 9.105263157894736}},3.294797687861272,#D95700
20,1,{1: {'0': 9.0}},3.3333333333333335,#00B300
20,0,{1: {'0': 9.0}},3.3333333333333335,#00B300
20,2,{1: {'0': 9.0}},3.3333333333333335,#00B300
20,3,{1: {'0': 9.0}},3.3333333333333335,#00B300
20,4,{1: {'0': 9.0}},3.3333333333333335,#00B300
20,5,{1: {'0': 9.0}},3.3333333333333335,#00B300
20,6,{1: {'0': 9.0}},3.3333333333333335,#00B300
20,7,{1: {'0': 9.0}},3.3333333333333335,#00B300
20,8,{1: {'0': 9.0}},3.3333333333333335,#00B300
20,9,{1: {'0': 9.0}},3.3333333333333335,#00B300
20,10,{1: {'0': 9.0}},3.3333333333333335,#00B300
20,11,{1: {'0': 9.0}},3.3333333333333335,#00B300
20,12,{1: {'0': 9.0}},3.3333333333333335,#00B300
20,13,{1: {'0': 9.0}},3.3333333333333335,#00B300
20,14,{1: {'0': 9.0}},3.3333333333333335,#00B300
20,15,{1: {'0': 9.0}},3.3333333333333335,#00B300
20,16,{1: {'0': 9.0}},3.3333333333333335,#00B300
20,17,{1: {'0': 9.0}},3.3333333333333335,#00B300
20,18,{1: {'0': 9.0}},3.3333333333333335,#00B300
20,19,{1: {'0': 9.0}},3.3333333333333335,#00B300
